INSTITUICAO_ENSINO_ALUNO_2020,NOME,FASE_2021,TURMA_2021,PEDRA_2021,INDE_2021,IAA_2021,IEG_2021,IPS_2021,IDA_2021,IPP_2021,PONTO_VIRADA_2021,IPV_2021,IAN_2021
Escola Pública,ALUNO-1,2.0,G,Ametista,7.319,7.5,6.3,6.9,8.8,7.7,Não,8.1,5.0
,ALUNO-2,,,,,,,,,,,,
Escola Pública,ALUNO-3,3.0,F,Ametista,7.021,7.1,6.9,6.3,5.6,7.3,Não,7.2,10.0
Escola Pública,ALUNO-4,,,,,,,,,,,,
Escola Pública,ALUNO-5,2.0,L,Ametista,7.399,7.4,7.5,7.5,5.4,8.5,Não,7.4,10.0
,ALUNO-6,,,,,,,,,,,,
,ALUNO-7,,,,,,,,,,,,
Rede Decisão/União,ALUNO-8,5.0,L,Topázio,8.269,8.8,8.6,7.5,7.1,8.0,Não,8.5,10.0
,ALUNO-9,,,,,,,,,,,,
Escola Pública,ALUNO-10,,,,,,,,,,,,
Escola Pública,ALUNO-11,1.0,A,Topázio,8.990,9.0,10.0,6.3,8.8,7.7,Sim,9.7,10.0
Rede Decisão/União,ALUNO-12,,,,,,,,,,,,
Escola Pública,ALUNO-13,0.0,T,Quartzo,3.413,8.0,0.0,7.5,0.8,0.0,Não,6.0,5.0
Escola Pública,ALUNO-14,,,,,,,,,,,,
Escola Pública,ALUNO-15,,,,,,,,,,,,
,ALUNO-16,,,,,,,,,,,,
Escola Pública,ALUNO-17,1.0,G,Ágata,6.140,9.5,4.2,7.5,2.6,8.4,Não,8.8,5.0
Escola Pública,ALUNO-18,4.0,F,Ágata,5.666,10.0,3.3,6.3,5.3,7.7,Não,5.2,5.0
Escola Pública,ALUNO-19,2.0,C,Ágata,6.751,9.0,6.3,7.5,4.6,7.7,Não,8.3,5.0
,ALUNO-20,,,,,,,,,,,,
,ALUNO-21,,,,,,,,,,,,
,ALUNO-22,,,,,,,,,,,,
,ALUNO-23,,,,,,,,,,,,
,ALUNO-24,,,,,,,,,,,,
,ALUNO-25,,,,,,,,,,,,
,ALUNO-26,,,,,,,,,,,,
,ALUNO-27,,,,,,,,,,,,
Rede Decisão/União,ALUNO-28,4.0,G,Topázio,9.079,8.3,9.2,7.5,8.8,9.4,Sim,9.9,10.0
Escola Pública,ALUNO-29,3.0,D,Ágata,6.342,9.6,5.3,7.5,3.8,7.5,Não,7.9,5.0
Escola Pública,ALUNO-30,,,,,,,,,,,,
,ALUNO-31,,,,,,,,,,,,
,ALUNO-32,,,,,,,,,,,,
Escola Pública,ALUNO-33,,,,,,,,,,,,
Escola Pública,ALUNO-34,2.0,C,Ágata,6.129,6.9,2.9,7.5,5.5,7.7,Não,8.7,5.0
Escola Pública,ALUNO-35,7.0,A,Topázio,8.416,9.2,9.4,7.5,8.2,8.4,Sim,9.4,5.0
Escola Pública,ALUNO-36,3.0,C,Ágata,6.246,8.3,6.4,3.8,4.7,7.3,Não,7.9,5.0
Escola Pública,ALUNO-37,2.0,N,Ágata,6.154,0.0,5.4,6.9,6.5,7.5,Não,6.7,10.0
Escola Pública,ALUNO-38,3.0,L,Ágata,6.847,3.8,6.9,7.5,5.1,7.5,Não,7.8,10.0
Escola Pública,ALUNO-39,,,,,,,,,,,,
Escola Pública,ALUNO-40,5.0,B,Ametista,7.334,9.2,7.8,7.5,6.0,8.3,Não,8.0,5.0
Escola Pública,ALUNO-41,2.0,C,Ágata,6.100,0.0,5.0,7.5,6.8,7.5,Não,8.8,5.0
Escola Pública,ALUNO-42,0.0,J,Ágata,6.802,10.0,6.7,7.5,4.0,7.2,Não,6.0,10.0
Escola Pública,ALUNO-43,,,,,,,,,,,,
Escola Pública,ALUNO-44,,,,,,,,,,,,
Escola Pública,ALUNO-45,,,,,,,,,,,,
Escola Pública,ALUNO-46,0.0,P,Topázio,8.471,8.5,10.0,7.5,6.9,8.1,Não,8.4,10.0
Escola Pública,ALUNO-47,1.0,A,Ágata,6.056,8.5,6.3,7.5,4.0,7.5,Não,5.8,5.0
,ALUNO-48,,,,,,,,,,,,
,ALUNO-49,,,,,,,,,,,,
,ALUNO-50,,,,,,,,,,,,
Escola Pública,ALUNO-51,1.0,F,Ametista,8.051,9.0,9.2,7.5,5.4,7.7,Não,8.6,10.0
Escola Pública,ALUNO-52,,,,,,,,,,,,
Einstein,ALUNO-53,,,,,,,,,,,,
Escola Pública,ALUNO-54,3.0,B,Ágata,6.388,7.5,5.8,7.5,4.1,7.3,Não,5.8,10.0
Rede Decisão/União,ALUNO-55,7.0,A,Ametista,8.219,9.6,8.9,8.1,7.6,8.1,Sim,9.2,5.0
Escola Pública,ALUNO-56,6.0,A,Ágata,6.777,8.8,7.5,5.6,5.5,7.8,Não,7.2,5.0
Rede Decisão/União,ALUNO-57,7.0,A,Ametista,7.213,8.3,6.9,6.3,6.0,7.7,Não,7.0,10.0
,ALUNO-58,,,,,,,,,,,,
Escola Pública,ALUNO-59,,,,,,,,,,,,
Rede Decisão/União,ALUNO-60,6.0,C,Ametista,6.956,7.9,7.5,6.9,6.1,7.2,Não,7.7,5.0
Escola Pública,ALUNO-61,1.0,M,Quartzo,3.017,0.0,1.3,5.6,0.0,6.9,Não,5.1,5.0
Escola Pública,ALUNO-62,2.0,L,Ágata,5.704,8.5,4.6,7.5,3.1,8.1,Não,6.2,5.0
,ALUNO-63,,,,,,,,,,,,
,ALUNO-64,,,,,,,,,,,,
Escola Pública,ALUNO-65,0.0,R,Topázio,8.438,10.0,10.0,7.5,6.9,8.1,Sim,10.0,5.0
Escola Pública,ALUNO-66,2.0,E,Ágata,6.875,8.0,6.3,7.5,5.9,8.5,Não,7.7,5.0
Escola Pública,ALUNO-67,1.0,J,Quartzo,4.939,7.4,3.3,7.5,1.1,8.3,Não,6.1,5.0
Escola Pública,ALUNO-68,,,,,,,,,,,,
,ALUNO-69,,,,,,,,,,,,
,ALUNO-70,,,,,,,,,,,,
Escola Pública,ALUNO-71,0.0,J,#NULO!,#NULO!,7.4,0.0,5.0,3.6,0.0,#NULO!,0.0,5.0
,ALUNO-72,,,,,,,,,,,,
,ALUNO-73,,,,,,,,,,,,
,ALUNO-74,,,,,,,,,,,,
Rede Decisão/União,ALUNO-75,4.0,L,Topázio,9.108,10.0,9.2,7.5,8.5,8.8,Sim,9.7,10.0
Escola Pública,ALUNO-76,1.0,B,Topázio,8.869,10.0,10.0,7.5,7.6,7.5,Sim,9.2,10.0
Escola Pública,ALUNO-77,0.0,J,Ametista,7.854,9.5,10.0,7.5,6.4,7.5,Não,8.1,5.0
Escola Pública,ALUNO-78,1.0,B,Ágata,6.339,8.9,9.2,7.5,2.6,7.3,Não,5.6,5.0
,ALUNO-79,,,,,,,,,,,,
Escola Pública,ALUNO-80,,,,,,,,,,,,
Escola Pública,ALUNO-81,5.0,L,Ágata,6.188,6.3,5.8,2.5,6.5,8.1,Não,7.7,5.0
Escola Pública,ALUNO-82,,,,,,,,,,,,
Rede Decisão/União,ALUNO-83,5.0,B,Ágata,5.987,6.7,6.4,3.8,3.0,7.3,Não,6.7,10.0
Escola Pública,ALUNO-84,1.0,A,Ametista,7.867,3.5,10.0,7.5,6.8,7.5,Não,8.3,10.0
Escola Pública,ALUNO-85,0.0,P,Ágata,6.652,9.5,6.7,6.3,6.9,4.7,Não,7.0,5.0
Escola Pública,ALUNO-86,,,,,,,,,,,,
Rede Decisão/União,ALUNO-87,5.0,L,Ametista,8.004,7.9,7.8,7.5,7.8,8.1,Não,7.7,10.0
Rede Decisão/União,ALUNO-88,2.0,D,Ametista,8.096,9.5,9.6,6.3,7.4,8.1,Sim,9.1,5.0
Escola Pública,ALUNO-89,,,,,,,,,,,,
Escola Pública,ALUNO-90,4.0,L,Ágata,5.994,7.1,5.0,7.5,4.6,7.2,Não,7.0,5.0
Escola Pública,ALUNO-91,2.0,H,Quartzo,4.200,9.5,0.0,7.5,2.2,5.6,Não,2.5,10.0
,ALUNO-92,,,,,,,,,,,,
Escola Pública,ALUNO-93,0.0,L,Ágata,6.248,8.0,4.2,7.5,5.1,6.6,Não,5.9,10.0
Escola Pública,ALUNO-94,4.0,F,Ágata,5.923,7.5,3.6,7.5,4.6,7.3,Não,5.2,10.0
Escola Pública,ALUNO-95,4.0,F,Quartzo,4.957,8.3,5.6,7.5,1.3,6.9,Não,4.1,5.0
Escola Pública,ALUNO-96,,,,,,,,,,,,
Escola Pública,ALUNO-97,2.0,D,Ágata,6.317,8.0,5.8,7.5,5.8,7.5,Não,6.0,5.0
Escola Pública,ALUNO-98,3.0,D,Ametista,6.953,9.2,6.4,7.5,6.3,7.5,Não,7.5,5.0
,ALUNO-99,,,,,,,,,,,,
Escola Pública,ALUNO-100,1.0,M,Quartzo,3.117,8.5,0.0,3.8,0.0,6.3,Não,3.8,5.0
,ALUNO-101,,,,,,,,,,,,
Escola Pública,ALUNO-102,1.0,J,Ágata,6.704,6.3,7.5,7.5,4.8,7.9,Não,7.8,5.0
Escola Pública,ALUNO-103,1.0,F,Ametista,8.076,9.5,8.8,6.3,6.2,7.9,Não,8.6,10.0
Escola Pública,ALUNO-104,0.0,J,Ametista,8.010,9.0,10.0,7.5,6.4,7.2,Não,6.8,10.0
Escola Pública,ALUNO-105,4.0,E,Quartzo,4.956,10.0,1.1,7.5,2.8,6.7,Não,3.7,10.0
Escola Pública,ALUNO-106,1.0,N,Ametista,8.242,10.0,7.9,7.5,7.9,8.3,Sim,10.0,5.0
,ALUNO-107,,,,,,,,,,,,
,ALUNO-108,,,,,,,,,,,,
Escola Pública,ALUNO-109,6.0,A,Ametista,7.360,7.5,6.7,7.5,7.8,8.4,Não,8.2,5.0
,ALUNO-110,,,,,,,,,,,,
Escola Pública,ALUNO-111,4.0,L,Ametista,7.222,8.3,8.1,7.5,6.0,8.4,Não,7.4,5.0
Escola Pública,ALUNO-112,4.0,F,Ágata,6.098,9.2,3.1,6.9,6.2,7.7,Não,6.9,5.0
Escola Pública,ALUNO-113,2.0,K,Ágata,6.664,9.5,7.1,7.5,4.6,8.1,Não,6.6,5.0
,ALUNO-114,,,,,,,,,,,,
Escola Pública,ALUNO-115,,,,,,,,,,,,
,ALUNO-116,,,,,,,,,,,,
Escola Pública,ALUNO-117,2.0,N,Ametista,7.774,8.5,7.1,7.5,7.1,8.3,Não,7.6,10.0
Escola Pública,ALUNO-118,1.0,B,Topázio,8.299,8.5,9.6,7.5,6.9,7.5,Não,8.2,10.0
,ALUNO-119,,,,,,,,,,,,
Escola Pública,ALUNO-120,1.0,A,Ametista,7.096,8.5,8.3,7.5,6.1,7.5,Não,6.8,5.0
,ALUNO-121,,,,,,,,,,,,
,ALUNO-122,,,,,,,,,,,,
,ALUNO-123,,,,,,,,,,,,
Escola Pública,ALUNO-124,0.0,T,Topázio,8.275,9.0,8.3,7.5,6.1,8.1,Sim,9.7,10.0
Escola Pública,ALUNO-125,2.0,P,Ágata,6.461,6.3,4.6,7.5,4.6,7.9,Não,7.2,10.0
Escola Pública,ALUNO-126,0.0,P,Ágata,6.069,9.0,4.2,7.5,4.5,7.2,Não,7.3,5.0
Escola Pública,ALUNO-127,1.0,A,Ametista,6.907,10.0,7.1,7.5,5.6,7.5,Não,6.9,5.0
Escola Pública,ALUNO-128,0.0,I,Quartzo,5.229,7.9,6.7,4.4,4.0,2.5,Não,5.6,5.0
Escola Pública,ALUNO-129,2.0,H,Ágata,5.819,7.4,4.2,7.5,4.6,7.2,Não,4.3,10.0
,ALUNO-130,,,,,,,,,,,,
,ALUNO-131,,,,,,,,,,,,
Escola Pública,ALUNO-132,,,,,,,,,,,,
Escola Pública,ALUNO-133,1.0,F,Ametista,7.990,9.5,9.6,7.5,7.1,7.7,Não,8.4,5.0
,ALUNO-134,,,,,,,,,,,,
Escola Pública,ALUNO-135,1.0,A,Ágata,5.788,9.5,4.2,6.3,3.6,6.9,Não,7.3,5.0
Escola Pública,ALUNO-136,,,,,,,,,,,,
Escola Pública,ALUNO-137,0.0,R,Ágata,6.012,8.0,5.8,7.5,5.3,5.0,Não,6.2,5.0
,ALUNO-138,,,,,,,,,,,,
Escola Pública,ALUNO-139,,,,,,,,,,,,
,ALUNO-140,,,,,,,,,,,,
,ALUNO-141,,,,,,,,,,,,
,ALUNO-142,,,,,,,,,,,,
Escola Pública,ALUNO-143,3.0,H,Ágata,6.278,7.9,4.4,6.3,4.3,7.5,Não,6.8,10.0
,ALUNO-144,,,,,,,,,,,,
Rede Decisão/União,ALUNO-145,,,,,,,,,,,,
Escola Pública,ALUNO-146,,,,,,,,,,,,
Escola Pública,ALUNO-147,,,,,,,,,,,,
,ALUNO-148,,,,,,,,,,,,
Escola Pública,ALUNO-149,7.0,A,Topázio,8.360,8.8,8.1,6.9,7.4,8.3,Sim,9.4,10.0
,ALUNO-150,,,,,,,,,,,,
Escola Pública,ALUNO-151,2.0,J,Topázio,9.004,9.5,9.6,8.1,9.1,10.0,Sim,10.0,5.0
Rede Decisão/União,ALUNO-152,3.0,B,Topázio,8.672,8.8,8.3,7.5,8.0,8.3,Sim,9.8,10.0
Rede Decisão/União,ALUNO-153,4.0,F,Topázio,8.355,10.0,7.5,7.5,7.5,8.0,Sim,9.0,10.0
Escola Pública,ALUNO-154,1.0,N,Quartzo,5.163,9.5,2.9,7.5,1.5,8.1,Não,6.3,5.0
Escola Pública,ALUNO-155,6.0,C,Quartzo,5.082,7.1,5.3,0.0,3.4,8.1,Não,6.6,5.0
Rede Decisão/União,ALUNO-156,3.0,J,Ametista,7.981,7.5,7.8,6.3,7.3,8.3,Não,8.8,10.0
Escola Pública,ALUNO-157,,,,,,,,,,,,
Escola Pública,ALUNO-158,4.0,F,Ágata,6.056,8.3,6.1,6.9,4.5,6.9,Não,6.1,5.0
Escola Pública,ALUNO-159,0.0,O,Ametista,8.025,9.0,10.0,7.5,6.1,8.1,Sim,9.3,5.0
Escola Pública,ALUNO-160,,,,,,,,,,,,
Estácio,ALUNO-161,,,,,,,,,,,,
Escola Pública,ALUNO-162,1.0,B,Ametista,7.531,8.5,10.0,7.5,6.6,7.5,Não,6.8,5.0
Escola Pública,ALUNO-163,,,,,,,,,,,,
Escola Pública,ALUNO-164,2.0,C,Ametista,7.125,9.5,5.8,7.5,5.9,7.5,Não,6.7,10.0
Escola Pública,ALUNO-165,1.0,R,Ametista,7.579,10.0,7.5,7.5,7.3,8.3,Não,7.7,5.0
,ALUNO-166,,,,,,,,,,,,
Escola Pública,ALUNO-167,1.0,A,Ametista,7.639,10.0,9.2,7.5,5.8,7.5,Não,8.3,5.0
Escola Pública,ALUNO-168,2.0,R,Quartzo,3.524,0.0,1.7,5.6,2.5,7.5,Não,4.4,5.0
Escola Pública,ALUNO-169,0.0,I,Ametista,6.898,8.5,10.0,4.4,6.1,5.3,Não,6.8,5.0
,ALUNO-170,,,,,,,,,,,,
Escola Pública,ALUNO-171,3.0,A,Ametista,8.036,8.8,8.9,7.5,7.5,8.3,Sim,9.0,5.0
,ALUNO-172,,,,,,,,,,,,
Escola Pública,ALUNO-173,5.0,F,Ágata,6.532,9.6,6.7,5.0,4.9,7.7,Não,7.5,5.0
Einstein,ALUNO-174,,,,,,,,,,,,
,ALUNO-175,,,,,,,,,,,,
Escola Pública,ALUNO-176,2.0,I,Ágata,5.674,7.5,6.3,5.0,4.3,6.7,Não,5.7,5.0
Escola Pública,ALUNO-177,0.0,L,Ametista,7.196,9.0,8.3,7.5,4.6,6.9,Não,6.3,10.0
,ALUNO-178,,,,,,,,,,,,
,ALUNO-179,,,,,,,,,,,,
,ALUNO-180,,,,,,,,,,,,
,ALUNO-181,,,,,,,,,,,,
,ALUNO-182,,,,,,,,,,,,
Escola Pública,ALUNO-183,,,,,,,,,,,,
Escola Pública,ALUNO-184,2.0,I,Ametista,7.896,8.5,9.2,7.5,5.6,7.5,Não,8.0,10.0
Escola Pública,ALUNO-185,0.0,M,Ametista,7.906,8.0,10.0,7.5,5.4,7.2,Não,7.8,10.0
Escola Pública,ALUNO-186,,,,,,,,,,,,
Escola Pública,ALUNO-187,,,,,,,,,,,,
Escola Pública,ALUNO-188,3.0,C,Ágata,6.435,7.1,5.8,7.5,4.7,8.1,Não,7.8,5.0
Escola Pública,ALUNO-189,,,,,,,,,,,,
Rede Decisão/União,ALUNO-190,,,,,,,,,,,,
,ALUNO-191,,,,,,,,,,,,
Escola Pública,ALUNO-192,,,,,,,,,,,,
Escola Pública,ALUNO-193,3.0,F,Ametista,8.215,9.2,10.0,5.6,7.7,7.9,Sim,9.6,5.0
Rede Decisão/União,ALUNO-194,,,,,,,,,,,,
,ALUNO-195,,,,,,,,,,,,
,ALUNO-196,,,,,,,,,,,,
Escola Pública,ALUNO-197,3.0,G,Ametista,7.751,8.3,7.2,7.5,6.0,8.1,Não,8.6,10.0
Escola Pública,ALUNO-198,,,,,,,,,,,,
Escola Pública,ALUNO-199,,,,,,,,,,,,
Escola Pública,ALUNO-200,4.0,F,Quartzo,4.788,7.5,1.7,6.9,3.3,6.7,Não,3.5,10.0
Escola Pública,ALUNO-201,4.0,L,Ágata,5.636,5.8,5.6,0.0,6.4,8.3,Não,6.7,5.0
Escola Pública,ALUNO-202,,,,,,,,,,,,
,ALUNO-203,,,,,,,,,,,,
,ALUNO-204,,,,,,,,,,,,
,ALUNO-205,,,,,,,,,,,,
Escola Pública,ALUNO-206,7.0,A,Quartzo,5.143,8.8,4.2,0.0,2.0,7.7,Não,6.3,10.0
Escola Pública,ALUNO-207,3.0,H,Quartzo,5.504,8.3,3.9,6.9,5.3,7.5,Não,4.4,5.0
Escola Pública,ALUNO-208,2.0,D,Ágata,6.450,7.0,6.3,7.5,4.5,7.5,Não,8.0,5.0
Escola Pública,ALUNO-209,1.0,N,Ametista,7.167,8.5,7.9,7.5,4.2,8.1,Sim,9.2,5.0
Rede Decisão/União,ALUNO-210,,,,,,,,,,,,
,ALUNO-211,,,,,,,,,,,,
Escola Pública,ALUNO-212,0.0,M,Ágata,5.663,9.5,8.3,5.0,4.3,2.5,Não,4.7,5.0
Escola Pública,ALUNO-213,3.0,C,Topázio,8.761,9.6,9.4,7.5,7.5,8.8,Não,8.9,10.0
,ALUNO-214,,,,,,,,,,,,
Escola Pública,ALUNO-215,,,,,,,,,,,,
UNISA,ALUNO-216,,,,,,,,,,,,
Escola Pública,ALUNO-217,1.0,G,Ametista,7.765,8.5,8.8,7.5,7.1,8.1,Não,8.4,5.0
Escola Pública,ALUNO-218,0.0,T,Topázio,8.821,9.5,10.0,7.5,6.9,8.1,Sim,9.7,10.0
Escola Pública,ALUNO-219,2.0,K,Quartzo,4.176,0.0,4.2,6.9,1.9,8.1,Não,4.8,5.0
,ALUNO-220,,,,,,,,,,,,
Escola Pública,ALUNO-221,3.0,A,Quartzo,4.442,9.2,2.8,7.5,1.8,5.8,Não,3.9,5.0
Escola Pública,ALUNO-222,,,,,,,,,,,,
Escola Pública,ALUNO-223,,,,,,,,,,,,
,ALUNO-224,,,,,,,,,,,,
Escola Pública,ALUNO-225,5.0,B,Ametista,7.138,8.3,6.7,6.9,6.0,7.5,Não,6.7,10.0
Rede Decisão/União,ALUNO-226,2.0,G,Quartzo,4.617,0.0,4.2,5.6,4.3,7.1,Não,5.8,5.0
Escola Pública,ALUNO-227,,,,,,,,,,,,
,ALUNO-228,,,,,,,,,,,,
Escola Pública,ALUNO-229,0.0,Q,Quartzo,5.054,8.5,0.0,7.5,4.0,6.9,Não,7.3,5.0
Rede Decisão/União,ALUNO-230,,,,,,,,,,,,
Escola Pública,ALUNO-231,7.0,A,Ametista,7.698,9.2,8.6,6.9,5.4,8.0,Não,7.5,10.0
Escola Pública,ALUNO-232,5.0,B,Ametista,7.331,8.3,7.2,7.5,6.7,8.3,Não,8.2,5.0
,ALUNO-233,,,,,,,,,,,,
,ALUNO-234,,,,,,,,,,,,
Rede Decisão/União,ALUNO-235,3.0,B,Ametista,7.544,9.2,6.9,5.6,6.6,7.3,Não,8.1,10.0
,ALUNO-236,,,,,,,,,,,,
,ALUNO-237,,,,,,,,,,,,
Escola Pública,ALUNO-238,2.0,H,Quartzo,3.663,8.5,1.3,4.4,2.1,5.0,Não,3.5,5.0
,ALUNO-239,,,,,,,,,,,,
Escola Pública,ALUNO-240,3.0,D,Ametista,7.629,8.8,6.1,7.5,6.9,7.3,Não,8.4,10.0
Escola Pública,ALUNO-241,2.0,I,Quartzo,2.860,7.9,0.4,5.6,0.0,4.1,Não,2.6,5.0
Escola Pública,ALUNO-242,2.0,I,Ágata,5.833,8.5,5.4,7.5,2.9,7.1,Não,6.8,5.0
Escola Pública,ALUNO-243,0.0,O,Ágata,6.354,8.5,5.0,7.5,3.2,7.5,Não,6.8,10.0
,ALUNO-244,,,,,,,,,,,,
,ALUNO-245,,,,,,,,,,,,
Escola Pública,ALUNO-246,1.0,R,Ametista,7.013,9.0,8.8,5.6,4.6,8.5,Não,7.7,5.0
Escola Pública,ALUNO-247,0.0,T,Ametista,8.013,10.0,8.3,7.5,6.8,8.1,Sim,9.7,5.0
,ALUNO-248,,,,,,,,,,,,
Escola Pública,ALUNO-249,1.0,B,Ágata,6.025,8.5,7.9,7.5,2.1,7.5,Não,5.8,5.0
,ALUNO-250,,,,,,,,,,,,
Escola Pública,ALUNO-251,2.0,N,Ametista,7.976,9.0,6.7,7.5,7.3,8.5,Não,8.4,10.0
Escola Pública,ALUNO-252,0.0,M,Ametista,7.473,10.0,10.0,7.5,5.9,7.2,Não,6.6,5.0
,ALUNO-253,,,,,,,,,,,,
,ALUNO-254,,,,,,,,,,,,
,ALUNO-255,,,,,,,,,,,,
,ALUNO-256,,,,,,,,,,,,
,ALUNO-257,,,,,,,,,,,,
Escola Pública,ALUNO-258,0.0,Q,Ágata,6.283,7.8,10.0,7.5,5.3,2.5,Não,4.8,5.0
Rede Decisão/União,ALUNO-259,,,,,,,,,,,,
Escola Pública,ALUNO-260,0.0,Q,Ágata,6.750,9.5,6.7,7.5,4.5,7.5,Não,7.8,5.0
Escola Pública,ALUNO-261,4.0,A,Ametista,6.899,9.2,7.8,7.5,5.9,8.4,Não,7.0,2.5
Rede Decisão/União,ALUNO-262,6.0,C,Ametista,7.903,9.2,6.9,7.5,7.7,7.8,Não,7.7,10.0
Rede Decisão/União,ALUNO-263,6.0,A,Ametista,7.694,7.9,7.8,7.5,6.5,8.0,Não,7.5,10.0
,ALUNO-264,,,,,,,,,,,,
Escola Pública,ALUNO-265,,,,,,,,,,,,
Escola Pública,ALUNO-266,2.0,B,Ametista,7.892,9.0,8.3,6.3,6.8,7.5,Não,8.0,10.0
Rede Decisão/União,ALUNO-267,4.0,G,Ametista,8.014,9.2,8.9,6.3,8.2,8.3,Não,8.6,5.0
,ALUNO-268,,,,,,,,,,,,
Escola Pública,ALUNO-269,,,,,,,,,,,,
Escola Pública,ALUNO-270,,,,,,,,,,,,
Escola Pública,ALUNO-271,3.0,J,Ágata,6.429,9.6,5.0,7.5,4.3,7.7,Não,5.5,10.0
,ALUNO-272,,,,,,,,,,,,
Escola Pública,ALUNO-273,1.0,R,Quartzo,4.125,9.5,2.1,7.5,0.0,6.3,Não,4.4,5.0
Escola Pública,ALUNO-274,5.0,A,Ágata,6.880,7.1,7.8,7.5,6.1,7.7,Não,6.9,5.0
