INSTITUICAO_ENSINO_ALUNO_2020,NOME,FASE_2021,TURMA_2021,PEDRA_2021,INDE_2021,IAA_2021,IEG_2021,IPS_2021,IDA_2021,IPP_2021,PONTO_VIRADA_2021,IPV_2021,IAN_2021
Escola Pública,ALUNO-275,3.0,M,Ágata,5.815,8.8,5.8,6.3,3.4,6.9,Não,6.4,5.0
,ALUNO-276,,,,,,,,,,,,
Escola Pública,ALUNO-277,1.0,E,Ametista,8.183,9.5,10.0,7.5,7.8,8.5,Não,7.8,5.0
Escola Pública,ALUNO-278,,,,,,,,,,,,
,ALUNO-279,,,,,,,,,,,,
Escola Pública,ALUNO-280,,,,,,,,,,,,
,ALUNO-281,,,,,,,,,,,,
Escola Pública,ALUNO-282,5.0,B,Topázio,8.544,9.2,9.7,7.5,8.8,8.8,Sim,9.0,5.0
Escola Pública,ALUNO-283,5.0,A,Topázio,8.531,8.8,9.4,7.5,8.7,8.8,Sim,9.5,5.0
Escola Pública,ALUNO-284,,,,,,,,,,,,
Escola Pública,ALUNO-285,,,,,,,,,,,,
Escola Pública,ALUNO-286,,,,,,,,,,,,
Escola Pública,ALUNO-287,,,,,,,,,,,,
Escola Pública,ALUNO-288,3.0,B,Ametista,8.088,8.3,7.5,7.5,7.7,7.3,Não,8.7,10.0
,ALUNO-289,,,,,,,,,,,,
,ALUNO-290,,,,,,,,,,,,
,ALUNO-291,,,,,,,,,,,,
Escola Pública,ALUNO-292,,,,,,,,,,,,
Escola Pública,ALUNO-293,5.0,F,Quartzo,3.080,0.0,3.9,0.0,0.0,5.9,Não,3.5,10.0
Escola Pública,ALUNO-294,0.0,K,Topázio,8.994,9.5,10.0,7.5,7.3,8.4,Sim,10.0,10.0
Escola Pública,ALUNO-295,1.0,A,Ágata,6.771,9.0,7.1,7.5,6.9,7.5,Não,5.3,5.0
Escola Pública,ALUNO-296,2.0,B,Ametista,7.221,9.5,7.9,7.5,3.6,7.3,Não,7.4,10.0
Escola Pública,ALUNO-297,3.0,J,Quartzo,4.894,8.8,3.3,5.6,2.8,7.7,Não,6.1,2.5
Escola Pública,ALUNO-298,,,,,,,,,,,,
Estácio,ALUNO-299,,,,,,,,,,,,
UNISA,ALUNO-300,,,,,,,,,,,,
Escola Pública,ALUNO-301,2.0,J,Topázio,8.289,9.0,9.2,7.5,6.3,8.5,Não,8.4,10.0
,ALUNO-302,,,,,,,,,,,,
Escola Pública,ALUNO-303,0.0,M,Ametista,7.767,8.5,8.3,7.5,6.8,7.5,Não,7.0,10.0
,ALUNO-304,,,,,,,,,,,,
Rede Decisão/União,ALUNO-305,3.0,J,Ametista,7.315,7.9,7.8,5.6,7.5,7.5,Não,8.3,5.0
Escola Pública,ALUNO-306,,,,,,,,,,,,
,ALUNO-307,,,,,,,,,,,,
,ALUNO-308,,,,,,,,,,,,
Escola Pública,ALUNO-309,,,,,,,,,,,,
Escola Pública,ALUNO-310,0.0,L,Ametista,7.165,9.0,8.3,7.5,4.6,6.6,Não,6.3,10.0
,ALUNO-311,,,,,,,,,,,,
Escola Pública,ALUNO-312,2.0,J,Ametista,7.946,9.0,9.6,4.4,7.8,8.8,Não,8.8,5.0
Escola Pública,ALUNO-313,0.0,P,Ametista,7.375,9.5,8.3,5.0,6.3,8.1,Não,8.4,5.0
,ALUNO-314,,,,,,,,,,,,
Escola Pública,ALUNO-315,5.0,A,Topázio,8.909,8.8,9.2,7.5,8.2,8.6,Sim,9.8,10.0
Escola Pública,ALUNO-316,,,,,,,,,,,,
,ALUNO-317,,,,,,,,,,,,
Escola Pública,ALUNO-318,,,,,,,,,,,,
Escola Pública,ALUNO-319,2.0,B,Ametista,7.821,7.5,9.6,6.9,8.2,7.3,Não,8.0,5.0
,ALUNO-320,,,,,,,,,,,,
Escola Pública,ALUNO-321,7.0,A,Ametista,7.891,8.3,7.5,5.6,7.6,8.3,Não,8.3,10.0
,ALUNO-322,,,,,,,,,,,,
Rede Decisão/União,ALUNO-323,1.0,B,Quartzo,4.976,7.4,7.1,4.4,3.3,3.8,Não,4.3,5.0
Escola Pública,ALUNO-324,7.0,A,Topázio,8.252,8.3,8.1,6.9,7.9,8.3,Não,8.6,10.0
,ALUNO-325,,,,,,,,,,,,
,ALUNO-326,,,,,,,,,,,,
,ALUNO-327,,,,,,,,,,,,
Escola Pública,ALUNO-328,,,,,,,,,,,,
Rede Decisão/União,ALUNO-329,,,,,,,,,,,,
Escola Pública,ALUNO-330,,,,,,,,,,,,
Escola Pública,ALUNO-331,0.0,R,Topázio,8.923,9.0,10.0,7.5,7.3,8.4,Sim,9.8,10.0
Escola Pública,ALUNO-332,1.0,G,Topázio,8.342,9.0,9.6,7.5,7.4,8.3,Sim,9.8,5.0
,ALUNO-333,,,,,,,,,,,,
,ALUNO-334,,,,,,,,,,,,
Escola Pública,ALUNO-335,,,,,,,,,,,,
Escola Pública,ALUNO-336,0.0,I,Ametista,7.533,9.0,10.0,6.3,6.9,7.5,Não,6.9,5.0
Rede Decisão/União,ALUNO-337,5.0,B,Ametista,7.661,7.5,8.1,7.5,7.3,8.8,Não,8.5,5.0
Escola Pública,ALUNO-338,,,,,,,,,,,,
Escola Pública,ALUNO-339,3.0,C,Ametista,7.676,8.8,8.1,7.5,6.2,8.5,Sim,9.2,5.0
Escola Pública,ALUNO-340,3.0,C,Ametista,7.800,8.8,8.1,7.5,7.0,8.3,Sim,9.1,5.0
FIAP,ALUNO-341,,,,,,,,,,,,
Rede Decisão/União,ALUNO-342,2.0,B,Ametista,7.392,8.5,6.7,7.5,7.6,7.5,Não,8.4,5.0
Escola Pública,ALUNO-343,5.0,L,Ametista,7.070,8.3,8.1,6.9,6.0,8.0,Não,7.2,5.0
Escola Pública,ALUNO-344,,,,,,,,,,,,
Escola Pública,ALUNO-345,1.0,F,Ágata,6.764,9.5,5.0,7.5,4.2,7.7,Não,7.3,10.0
Escola Pública,ALUNO-346,1.0,A,Quartzo,4.925,7.9,3.8,7.5,0.0,7.5,Não,4.4,10.0
,ALUNO-347,,,,,,,,,,,,
Escola Pública,ALUNO-348,1.0,F,Ametista,7.558,10.0,8.8,7.5,6.4,7.7,Não,7.5,5.0
Escola Pública,ALUNO-349,1.0,C,Quartzo,4.414,8.0,3.3,7.5,0.4,6.9,Não,4.6,5.0
,ALUNO-350,,,,,,,,,,,,
,ALUNO-351,,,,,,,,,,,,
Escola Pública,ALUNO-352,4.0,F,Ágata,5.783,7.5,3.6,7.5,3.5,7.2,Não,5.7,10.0
Escola Pública,ALUNO-353,,,,,,,,,,,,
Escola Pública,ALUNO-354,,,,,,,,,,,,
Escola Pública,ALUNO-355,,,,,,,,,,,,
,ALUNO-356,,,,,,,,,,,,
Escola Pública,ALUNO-357,3.0,M,Ágata,6.854,8.3,5.3,7.5,5.9,7.3,Não,6.6,10.0
,ALUNO-358,,,,,,,,,,,,
Escola Pública,ALUNO-359,2.0,E,Ametista,7.326,8.0,5.0,7.5,8.0,8.5,Sim,9.1,5.0
,ALUNO-360,,,,,,,,,,,,
Escola Pública,ALUNO-361,,,,,,,,,,,,
,ALUNO-362,,,,,,,,,,,,
Escola Pública,ALUNO-363,0.0,O,Ametista,8.231,10.0,8.3,7.5,6.5,7.8,Não,8.7,10.0
Escola Pública,ALUNO-364,2.0,A,Ágata,6.306,0.0,7.5,4.4,4.7,7.1,Não,8.6,10.0
Rede Decisão/União,ALUNO-365,6.0,C,Ametista,7.376,9.2,6.9,5.0,6.5,6.9,Não,7.9,10.0
,ALUNO-366,,,,,,,,,,,,
Escola Pública,ALUNO-367,4.0,F,Ágata,6.392,7.9,4.4,7.5,4.8,7.0,Não,6.5,10.0
UNISA,ALUNO-368,,,,,,,,,,,,
,ALUNO-369,,,,,,,,,,,,
Escola Pública,ALUNO-370,3.0,G,Ametista,8.196,7.9,8.9,6.3,9.1,9.0,Não,8.9,5.0
Rede Decisão/União,ALUNO-371,,,,,,,,,,,,
Escola Pública,ALUNO-372,2.0,E,Ágata,6.360,8.0,5.4,7.5,4.9,7.5,Não,7.4,5.0
Escola Pública,ALUNO-373,4.0,L,Quartzo,4.712,9.2,4.4,5.6,1.5,7.2,Não,4.2,5.0
Escola Pública,ALUNO-374,7.0,A,Topázio,8.276,9.6,9.4,7.5,6.4,8.1,Não,7.9,10.0
Rede Decisão/União,ALUNO-375,2.0,B,Topázio,8.858,9.5,10.0,7.5,8.1,7.5,Não,8.9,10.0
Escola Pública,ALUNO-376,4.0,A,Quartzo,5.216,8.8,5.8,0.0,3.9,7.7,Não,5.7,5.0
Rede Decisão/União,ALUNO-377,3.0,G,Ametista,7.110,8.8,7.5,5.6,4.2,7.5,Não,7.9,10.0
Rede Decisão/União,ALUNO-378,6.0,C,Ametista,7.441,6.7,7.8,4.4,7.7,7.8,Não,7.3,10.0
Escola Pública,ALUNO-379,4.0,E,Quartzo,4.151,10.0,2.8,5.0,1.7,5.6,Não,3.5,5.0
FIAP,ALUNO-380,,,,,,,,,,,,
Escola Pública,ALUNO-381,0.0,I,Ametista,7.052,9.5,8.3,6.3,6.1,7.8,Não,6.6,5.0
FIAP,ALUNO-382,,,,,,,,,,,,
Escola Pública,ALUNO-383,0.0,R,Ametista,6.915,9.5,5.8,7.5,6.3,7.2,Não,7.8,5.0
Escola Pública,ALUNO-384,1.0,C,Ametista,7.418,8.5,9.2,8.8,3.6,8.1,Sim,9.1,5.0
Escola Pública,ALUNO-385,3.0,M,Quartzo,5.435,8.8,3.9,7.5,2.6,7.3,Não,6.4,5.0
,ALUNO-386,,,,,,,,,,,,
Escola Pública,ALUNO-387,3.0,R,Ágata,6.190,7.9,5.8,5.0,6.6,7.3,Não,5.9,5.0
Escola Pública,ALUNO-388,2.0,C,Ágata,6.007,9.5,3.8,7.5,3.8,7.5,Não,7.7,5.0
Escola Pública,ALUNO-389,6.0,A,Ametista,8.201,8.3,8.6,6.3,9.0,9.4,Não,8.9,5.0
Escola Pública,ALUNO-390,,,,,,,,,,,,
,ALUNO-391,,,,,,,,,,,,
,ALUNO-392,,,,,,,,,,,,
Escola Pública,ALUNO-393,2.0,F,Ametista,7.260,9.0,6.7,7.5,7.4,8.1,Não,7.4,5.0
Rede Decisão/União,ALUNO-394,4.0,F,Ágata,6.053,7.1,5.3,6.9,5.2,7.2,Não,6.7,5.0
,ALUNO-395,,,,,,,,,,,,
Escola Pública,ALUNO-396,5.0,A,Ametista,7.593,7.9,8.1,7.5,7.2,7.7,Não,8.7,5.0
Rede Decisão/União,ALUNO-397,3.0,B,Quartzo,4.257,6.7,2.8,3.1,2.5,4.6,Não,3.8,10.0
,ALUNO-398,,,,,,,,,,,,
Escola Pública,ALUNO-399,,,,,,,,,,,,
Escola Pública,ALUNO-400,1.0,C,Quartzo,3.729,0.0,3.3,5.6,1.2,7.3,Não,5.2,5.0
Escola Pública,ALUNO-401,,,,,,,,,,,,
,ALUNO-402,,,,,,,,,,,,
Escola Pública,ALUNO-403,3.0,D,Ametista,7.878,9.2,7.2,7.5,6.4,7.9,Não,8.5,10.0
Rede Decisão/União,ALUNO-404,4.0,G,Topázio,8.499,8.8,9.2,7.5,7.4,8.9,Não,8.3,10.0
Escola Pública,ALUNO-405,0.0,S,Ametista,7.767,8.5,8.3,7.5,6.0,7.5,Não,7.8,10.0
Escola Pública,ALUNO-406,1.0,A,Ágata,6.868,9.0,8.3,6.9,6.4,7.5,Não,5.4,5.0
Rede Decisão/União,ALUNO-407,4.0,G,Topázio,8.475,8.3,8.9,7.5,6.6,9.2,Sim,9.4,10.0
Escola Pública,ALUNO-408,1.0,C,Topázio,8.699,9.0,9.2,8.8,7.2,8.8,Não,8.9,10.0
,ALUNO-409,,,,,,,,,,,,
,ALUNO-410,,,,,,,,,,,,
,ALUNO-411,,,,,,,,,,,,
,ALUNO-412,,,,,,,,,,,,
,ALUNO-413,,,,,,,,,,,,
Escola Pública,ALUNO-414,,,,,,,,,,,,
,ALUNO-415,,,,,,,,,,,,
Escola Pública,ALUNO-416,2.0,H,Ametista,7.349,9.0,8.8,4.4,6.9,7.3,Não,8.2,5.0
,ALUNO-417,,,,,,,,,,,,
,ALUNO-418,,,,,,,,,,,,
,ALUNO-419,,,,,,,,,,,,
,ALUNO-420,,,,,,,,,,,,
Escola Pública,ALUNO-421,4.0,F,Ágata,6.624,9.2,5.8,7.5,5.8,7.7,Não,6.9,5.0
Escola Pública,ALUNO-422,0.0,Q,Ametista,7.965,9.0,10.0,7.5,7.2,8.4,Não,7.7,5.0
Escola Pública,ALUNO-423,5.0,F,Quartzo,3.146,0.0,1.7,5.0,1.5,6.9,Não,4.2,5.0
Escola Pública,ALUNO-424,2.0,I,Ágata,5.990,9.0,5.0,7.5,4.5,7.3,Não,6.1,5.0
Escola Pública,ALUNO-425,3.0,F,Ágata,6.642,9.2,6.4,7.5,5.5,7.1,Não,6.9,5.0
Escola Pública,ALUNO-426,,,,,,,,,,,,
,ALUNO-427,,,,,,,,,,,,
,ALUNO-428,,,,,,,,,,,,
,ALUNO-429,,,,,,,,,,,,
,ALUNO-430,,,,,,,,,,,,
Escola Pública,ALUNO-431,,,,,,,,,,,,
Escola Pública,ALUNO-432,0.0,I,Quartzo,4.946,9.0,6.7,5.0,2.6,2.5,Não,4.8,5.0
,ALUNO-433,,,,,,,,,,,,
,ALUNO-434,,,,,,,,,,,,
Escola Pública,ALUNO-435,5.0,B,Quartzo,4.169,6.7,4.7,0.0,3.0,7.5,Não,3.5,5.0
Escola Pública,ALUNO-436,2.0,J,Ametista,7.743,9.5,8.8,7.5,6.3,8.5,Não,8.4,5.0
Escola Pública,ALUNO-437,2.0,P,Ágata,6.482,8.5,5.0,7.5,4.0,7.7,Não,6.6,10.0
Escola Pública,ALUNO-438,5.0,B,Ágata,5.756,9.2,5.3,7.5,2.8,7.5,Não,6.1,5.0
Escola Pública,ALUNO-439,,,,,,,,,,,,
Escola Pública,ALUNO-440,5.0,B,Ametista,7.382,8.3,8.1,7.5,6.7,8.1,Não,7.7,5.0
Escola Pública,ALUNO-441,2.0,R,Ametista,7.571,9.0,7.9,6.3,7.8,8.1,Não,8.0,5.0
Escola Pública,ALUNO-442,1.0,F,Quartzo,5.188,8.5,4.2,7.5,0.7,7.5,Não,6.8,5.0
Escola Pública,ALUNO-443,,,,,,,,,,,,
Escola Pública,ALUNO-444,1.0,J,Ágata,6.469,9.5,4.2,7.5,5.1,8.1,Não,8.1,5.0
Escola Pública,ALUNO-445,,,,,,,,,,,,
,ALUNO-446,,,,,,,,,,,,
Escola Pública,ALUNO-447,1.0,J,Ametista,7.690,9.5,9.6,5.0,6.4,7.9,Não,8.7,5.0
Escola Pública,ALUNO-448,3.0,R,Ametista,7.850,9.2,7.8,7.5,6.3,7.5,Não,8.1,10.0
Escola Pública,ALUNO-449,2.0,N,Ametista,7.653,8.5,7.5,7.5,4.9,8.5,Não,8.6,10.0
Escola Pública,ALUNO-450,5.0,A,Ametista,7.196,7.1,7.5,7.5,6.3,8.1,Não,8.3,5.0
Escola Pública,ALUNO-451,1.0,E,Ágata,5.667,8.5,5.0,7.5,1.0,8.3,Não,7.7,5.0
Escola Pública,ALUNO-452,1.0,G,Ametista,7.118,7.0,8.8,7.5,4.8,8.1,Não,8.3,5.0
Escola Pública,ALUNO-453,,,,,,,,,,,,
,ALUNO-454,,,,,,,,,,,,
Escola Pública,ALUNO-455,2.0,F,Ametista,7.154,8.5,7.1,7.5,4.9,7.3,Não,7.2,10.0
,ALUNO-456,,,,,,,,,,,,
Escola Pública,ALUNO-457,,,,,,,,,,,,
Escola Pública,ALUNO-458,,,,,,,,,,,,
Escola Pública,ALUNO-459,,,,,,,,,,,,
Escola Pública,ALUNO-460,,,,,,,,,,,,
,ALUNO-461,,,,,,,,,,,,
Escola Pública,ALUNO-462,,,,,,,,,,,,
Rede Decisão/União,ALUNO-463,4.0,G,Topázio,8.292,9.6,8.3,7.5,7.0,8.8,Não,8.2,10.0
Escola Pública,ALUNO-464,,,,,,,,,,,,
Escola Pública,ALUNO-465,0.0,S,Ametista,8.123,8.5,10.0,7.5,7.6,7.8,Não,8.6,5.0
Escola Pública,ALUNO-466,,,,,,,,,,,,
Escola Pública,ALUNO-467,,,,,,,,,,,,
Escola Pública,ALUNO-468,2.0,N,Ágata,6.583,7.0,6.3,7.5,3.6,7.7,Não,7.0,10.0
Rede Decisão/União,ALUNO-469,4.0,A,Ágata,6.759,6.3,6.7,7.5,6.4,7.3,Não,5.2,10.0
,ALUNO-470,,,,,,,,,,,,
,ALUNO-471,,,,,,,,,,,,
Escola Pública,ALUNO-472,,,,,,,,,,,,
Escola Pública,ALUNO-473,,,,,,,,,,,,
Escola Pública,ALUNO-474,2.0,H,Ametista,7.215,9.0,7.5,7.5,4.6,7.1,Não,7.2,10.0
,ALUNO-475,,,,,,,,,,,,
Escola Pública,ALUNO-476,,,,,,,,,,,,
Escola Pública,ALUNO-477,2.0,L,Quartzo,5.185,0.0,5.8,7.5,4.3,7.3,Não,5.9,5.0
Escola Pública,ALUNO-478,,,,,,,,,,,,
,ALUNO-479,,,,,,,,,,,,
,ALUNO-480,,,,,,,,,,,,
,ALUNO-481,,,,,,,,,,,,
Escola Pública,ALUNO-482,2.0,F,Topázio,9.021,10.0,10.0,7.5,9.1,9.8,Sim,9.8,5.0
Rede Decisão/União,ALUNO-483,2.0,G,Ametista,7.644,9.5,8.3,5.0,8.1,7.9,Não,8.1,5.0
FIAP,ALUNO-484,,,,,,,,,,,,
Escola Pública,ALUNO-485,3.0,D,Ágata,6.387,7.1,6.1,7.5,5.0,7.3,Não,7.4,5.0
Escola Pública,ALUNO-486,2.0,C,Quartzo,5.511,0.0,6.3,7.5,6.0,6.7,Não,5.7,5.0
Escola Pública,ALUNO-487,0.0,S,Ametista,7.440,10.0,6.7,7.5,7.1,7.8,Não,8.3,5.0
Escola Pública,ALUNO-488,3.0,R,Ágata,5.539,8.3,5.3,7.5,3.0,7.1,Não,5.5,5.0
,ALUNO-489,,,,,,,,,,,,
Rede Decisão/União,ALUNO-490,4.0,A,Ametista,7.044,8.8,7.8,6.9,6.5,7.3,Não,7.0,5.0
Escola Pública,ALUNO-491,,,,,,,,,,,,
Escola Pública,ALUNO-492,,,,,,,,,,,,
,ALUNO-493,,,,,,,,,,,,
Escola Pública,ALUNO-494,1.0,C,Topázio,8.268,9.5,9.2,7.5,7.2,8.8,Sim,9.6,5.0
FIAP,ALUNO-495,,,,,,,,,,,,
Rede Decisão/União,ALUNO-496,4.0,A,Ametista,7.895,9.6,6.7,7.5,7.5,8.3,Não,7.7,10.0
Escola Pública,ALUNO-497,2.0,K,Ametista,7.599,9.0,8.3,7.5,6.6,8.1,Não,8.2,5.0
Escola Pública,ALUNO-498,3.0,H,Ágata,5.735,9.6,3.9,5.0,3.8,7.3,Não,5.1,10.0
Rede Decisão/União,ALUNO-499,2.0,A,Ametista,7.497,9.0,7.1,7.5,7.1,7.5,Não,8.8,5.0
Escola Pública,ALUNO-500,7.0,A,Ametista,7.878,9.2,8.9,5.6,6.4,8.1,Não,7.6,10.0
,ALUNO-501,,,,,,,,,,,,
Escola Pública,ALUNO-502,4.0,G,Ágata,6.853,10.0,4.7,7.5,3.9,8.8,Não,7.5,10.0
Escola Pública,ALUNO-503,0.0,J,Ametista,8.008,9.5,10.0,7.5,6.9,7.5,Não,8.4,5.0
,ALUNO-504,,,,,,,,,,,,
,ALUNO-505,,,,,,,,,,,,
Escola Pública,ALUNO-506,0.0,J,#NULO!,#NULO!,7.4,0.0,5.0,4.1,0.0,#NULO!,0.0,10.0
Escola Pública,ALUNO-507,4.0,E,Ágata,5.580,9.6,3.9,5.0,2.8,7.2,Não,5.3,10.0
,ALUNO-508,,,,,,,,,,,,
Escola Pública,ALUNO-509,,,,,,,,,,,,
,ALUNO-510,,,,,,,,,,,,
Escola Pública,ALUNO-511,0.0,S,Ametista,7.296,7.5,8.3,7.5,6.6,7.5,Não,7.8,5.0
Escola Pública,ALUNO-512,4.0,A,Ametista,7.972,8.3,8.6,7.5,7.0,8.8,Sim,9.5,5.0
Escola Pública,ALUNO-513,1.0,F,Ametista,7.285,8.5,7.5,7.5,6.1,7.7,Não,8.4,5.0
,ALUNO-514,,,,,,,,,,,,
Escola Pública,ALUNO-515,,,,,,,,,,,,
,ALUNO-516,,,,,,,,,,,,
Escola Pública,ALUNO-517,,,,,,,,,,,,
Rede Decisão/União,ALUNO-518,7.0,A,Ametista,7.971,9.6,6.7,7.5,7.9,8.1,Não,7.7,10.0
,ALUNO-519,,,,,,,,,,,,
Escola Pública,ALUNO-520,3.0,L,Topázio,8.414,7.9,9.7,5.6,7.2,9.0,Não,8.9,10.0
Escola Pública,ALUNO-521,2.0,E,Ametista,7.254,9.5,4.6,7.5,5.3,8.5,Não,8.7,10.0
Escola Pública,ALUNO-522,2.0,P,Ágata,5.868,8.5,4.2,7.5,3.8,7.5,Não,7.1,5.0
Escola Pública,ALUNO-523,3.0,D,Ametista,7.082,7.9,5.6,7.5,6.4,6.9,Não,7.3,10.0
Escola Pública,ALUNO-524,1.0,E,Topázio,8.494,9.5,9.2,7.5,8.4,8.8,Sim,9.6,5.0
,ALUNO-525,,,,,,,,,,,,
Escola Pública,ALUNO-526,1.0,F,Ametista,7.626,8.5,8.8,7.5,7.8,7.7,Não,7.3,5.0
Rede Decisão/União,ALUNO-527,6.0,C,Ametista,7.620,9.2,7.2,7.5,7.1,8.6,Não,8.7,5.0
,ALUNO-528,,,,,,,,,,,,
Escola Pública,ALUNO-529,1.0,N,Ametista,8.090,8.0,9.6,7.5,8.0,8.1,Não,8.6,5.0
Escola Pública,ALUNO-530,,,,,,,,,,,,
Escola Pública,ALUNO-531,5.0,A,Ametista,7.223,8.8,8.3,7.5,5.7,7.8,Não,7.5,5.0
,ALUNO-532,,,,,,,,,,,,
Escola Pública,ALUNO-533,3.0,B,Ágata,5.956,9.2,5.3,7.5,4.9,7.8,Não,4.9,5.0
Escola Pública,ALUNO-534,,,,,,,,,,,,
Escola Pública,ALUNO-535,,,,,,,,,,,,
Escola Pública,ALUNO-536,1.0,R,Quartzo,4.586,8.0,1.7,7.5,3.1,6.7,Não,4.6,5.0
Escola Pública,ALUNO-537,0.0,M,Quartzo,4.808,6.3,4.2,7.5,3.4,5.0,Não,4.6,5.0
Escola Pública,ALUNO-538,2.0,J,Quartzo,4.824,9.0,5.0,5.0,1.1,5.2,Não,5.9,5.0
,ALUNO-539,,,,,,,,,,,,
Escola Pública,ALUNO-540,2.0,I,Ágata,6.078,8.5,5.4,7.5,4.5,7.5,Não,6.2,5.0
Escola Pública,ALUNO-541,4.0,L,Ametista,7.835,9.2,6.9,7.5,6.8,8.1,Não,8.0,10.0
Escola Pública,ALUNO-542,0.0,R,Ametista,7.565,8.0,8.3,7.5,7.0,7.8,Não,8.3,5.0
,ALUNO-543,,,,,,,,,,,,
Escola Pública,ALUNO-544,2.0,R,Ametista,7.292,9.0,7.9,6.3,6.7,8.1,Não,7.7,5.0
Escola Pública,ALUNO-545,,,,,,,,,,,,
Escola Pública,ALUNO-546,6.0,A,Ágata,5.728,10.0,7.2,2.5,4.0,4.6,Não,6.3,5.0
Escola Pública,ALUNO-547,4.0,G,Ágata,6.800,7.5,6.4,6.3,7.1,8.0,Não,7.1,5.0
